ID,Name,Founded_Year,Country,Studio_Type,Replay_Rate,Years_Active,Maturity_Level
2,(Archive) Atari Inc.,1980,Canada,Indie,0.497,45,Veteran
3,.dat,2007,United Kingdom,Indie,0.391,18,Established
4,07th Expansion,2007,Finland,Indie,0.56,18,Established
5,10 Chambers Collective,2015,Sweden,Indie,0.687,10,Emerging
6,10tons,2012,United Kingdom,Indie,0.756,13,Emerging
7,11 bit studios,2007,Sweden,Indie,0.358,18,Established
8,111dots Studio,2012,Sweden,Indie,0.293,13,Emerging
9,1337 & Senri AB,2012,Sweden,Indie,0.747,13,Emerging
10,13AM Games,2013,Japan,Mobile,0.635,12,Emerging
11,14 Degrees East,1973,United States,Legacy,0.858,52,Veteran
12,14ch Eternal Gomez,2008,United States,Indie,0.54,17,Established
13,17-BIT,2011,Finland,Indie,0.745,14,Emerging
14,1C-SoftClub,2011,United States,Indie,0.523,14,Emerging
15,1Games,2013,South Korea,Mobile,0.363,12,Emerging
16,1st Playable Productions,2009,Canada,Indie,0.529,16,Established
17,2015,2001,United States,Indie,0.799,24,Established
18,24 Caret Games,2007,United States,Mobile,0.544,18,Established
19,2K China,1998,United States,Mid-tier,0.726,27,Established
20,2K Czech,1997,France,Mid-tier,0.741,28,Established
21,2K Games,2006,China,Mobile,0.414,19,Established
22,2K Marin,2005,Canada,Indie,0.773,20,Established
23,2XL Games,2006,South Korea,Mobile,0.624,19,Established
24,2n Productions,1996,Sweden,Indie,0.431,29,Established
25,3 Minute Games,2011,Canada,Indie,0.4,14,Emerging
26,30 Parallel Inc,2021,Finland,Indie,0.725,4,Emerging
27,343 Industries,2008,Canada,Indie,0.42,17,Established
28,34BigThings srl,2020,United States,Indie,0.782,5,Emerging
29,369 Interactive,2001,Canada,Indie,0.62,24,Established
30,38 Studios,2012,Finland,Indie,0.647,13,Emerging
31,3D Clouds,2018,Sweden,Indie,0.603,7,Emerging
32,3D Factory,2014,Canada,Indie,0.676,11,Emerging
33,3D Groove,1999,United States,Indie,0.51,26,Established
34,3D Realms,1991,Canada,Indie,0.798,34,Veteran
35,3DO,1998,Canada,Indie,0.35,27,Established
36,3d6 Games,1997,Japan,Mobile,0.487,28,Established
37,49Games,2003,United States,Mobile,0.714,22,Established
38,4A Games,2009,South Korea,Mobile,0.647,16,Established
39,4J Studios,2006,United States,Indie,0.817,19,Established
40,5 Ants,2009,Canada,Indie,0.821,16,Established
41,5 Lives Studios,2015,United States,Indie,0.669,10,Emerging
42,5pb.,2010,United Kingdom,Indie,0.484,15,Established
43,5pb. Division 2,1985,United Kingdom,Mid-tier,0.822,40,Veteran
44,5th Cell,2003,Canada,Indie,0.35,22,Established
45,6 Eyes Studio,2017,Sweden,Indie,0.495,8,Emerging
46,7 Raven Studios,2007,United Kingdom,Indie,0.385,18,Established
47,7 Studios,1999,Canada,Indie,0.836,26,Established
48,704Games Company,2017,Japan,Mobile,0.478,8,Emerging
49,777 Studios,2012,Finland,Indie,0.257,13,Emerging
50,7seventh chord,1993,France,Mid-tier,0.78,32,Veteran
51,7th Level,1989,United Kingdom,Indie,0.599,36,Veteran
52,7thChord,2013,United States,Indie,0.458,12,Emerging
53,800 North and Digital Ranch,2006,United States,Indie,0.375,19,Established
54,8ing,2019,Canada,Indie,0.724,6,Emerging
55,93 Games Studio,2000,Finland,Indie,0.329,25,Established
56,989 Studios,1997,United Kingdom,Indie,0.526,28,Established
57,@unepic_fran,2020,Canada,Indie,0.74,5,Emerging
58,A Brave Plan,2017,Canada,Indie,0.67,8,Emerging
59,A Couple 'A Cowboys Pty Limited,1991,Canada,Indie,0.736,34,Veteran
60,A Crowd of Monsters,2014,Sweden,Indie,0.36,11,Emerging
61,A Jolly Corpse,1996,Canada,Indie,0.44,29,Established
62,A&F Software,1980,United Kingdom,Indie,0.345,45,Veteran
63,A-Lim,2010,Canada,Indie,0.607,15,Established
64,A2M,2001,Finland,Indie,0.506,24,Established
65,A44,2013,Canada,Indie,0.756,12,Emerging
66,ACE Team,2009,Canada,Indie,0.704,16,Established
67,ACQUIRE Corp.,1999,Sweden,Indie,0.614,26,Established
68,ADK Corporation,1990,Canada,Indie,0.792,35,Veteran
69,AGD Interactive,2010,United States,Indie,0.607,15,Established
70,AI,1985,United States,Indie,0.406,40,Veteran
71,AKI Corporation,1990,France,Mid-tier,0.545,35,Veteran
72,ALTAR Games,1997,China,Mobile,0.591,28,Established
73,AM1,1983,Canada,AAA,0.796,42,Veteran
74,AM3,2018,Finland,Indie,0.731,7,Emerging
75,AM5,2018,Finland,Indie,0.653,7,Emerging
76,AMA Studios,2007,Finland,Indie,0.588,18,Established
77,AN Productions,1998,France,AAA,0.897,27,Established
