ID,Name
1,(Archive) Atari Inc.
2,07th Expansion
3,10 Chambers Collective
4,101XP
5,10tacle Studios
6,10tons
7,11 bit studios
8,1337 & Senri AB
9,13AM Games
10,14 Degrees East
11,17-BIT
12,1C Company
13,1C Entertainment
14,1C Game Studios
15,1C-SoftClub
16,1C/Cenega
17,1CC Games
18,1Games
19,2 Left Thumbs
20,20th Century Fox Games
21,24 Caret Games
22,2K
23,2K Games
24,2K Play
25,2K Sports
26,30 Parallel Inc
27,38 Studios
28,3909
29,3Blackdot
30,3D Factory
31,3D Realms
32,3DO
33,4HIT
34,4J Studios
35,505 Game Street
36,505 Games
37,5pb.
38,612 Games
39,704Games
40,7th Level
41,8-4
42,800 North and Digital Ranch
43,8FLOOR
44,989 Studios
45,A Crowd of Monsters
46,A&F Software
47,ABAB Soft
48,ACQUIRE Corp.
49,ADK Corporation
50,AGD Interactive
51,AIA USA
52,AM1
53,AMT Savan Corp
54,AQ Interactive
55,ARC
56,ARVI VR
57,ARVORE Immersive Experiences
58,ASC Games
59,ASCII Corporation
60,ASCII Entertainment
61,ASCII Entertainment Software
62,ASK
63,AWE Games
64,AZAMATIKA
65,Abrakam
66,Absolute Entertainment
67,Absolutist
68,Abstraction Games
69,Abylight Studios
70,Access Games
71,Access Software
72,Acclaim
73,Acclaim Coin-Operated Entertainment
74,Acclaim Entertainment
75,Acclaim Japan
76,Acclaim Max Sports
77,Accolade
78,Ace Maddox
79,Acer TWP
80,Act 3 Games
81,Active Enterprises
82,Activision
83,Activision Asia-Pacific
84,Activision Blizzard
85,Activision Deutchland
86,Activision Italia
87,Activision Publishing
88,Activision UK
89,Activision Value
90,Actoz Soft
91,Actualize
92,Adam Gryu
93,AddictingGames
94,Addison-Wesley Publishing Company
95,Adult Swim Games
96,Adventure International
97,Adventure Soft
98,Adventuresoft UK Ltd.
99,Aeria Games
100,Aeria Games & Entertainment
101,Aftermath Media
102,Afterthought Games
103,Against gravity
104,Agatsuma
105,Age of Fear
106,Agetec
107,Aidem Media
108,Airborne
109,Airdorf Games
110,Akatsuki Inc.
111,Akatsuki Taiwan
112,Akella
113,Akelote ir ko
114,Aksys Games
115,Akupara Games
116,Alawar
117,Alawar Entertainment
118,Alawar Premium
119,Alchemist
120,Alchemist Research
121,Alcon Entertainment
122,"Alexander Shafto ""Sandy"" Douglas"
123,Alientrap Games Inc
124,Alive Mediasoft
125,All American Adventures
126,All In! Games
127,All Interactive Distributuion
128,All Seeing Eye Games
129,Alliance
130,Allied Kingdoms
131,Almost Human Ltd.
132,Alpha Denshi
133,Alternative Software
134,Altron
135,Altron Corporation
136,Alysson da Paz
137,Amanita Design
138,Amaweks
139,Amazing Inc
140,Amazon Game Studios
141,Amber Company
142,Ambrosia Software
143,American Action AB
144,American Game Cartridges
145,American Laser Games
146,American Technos
147,American Video Entertainment
148,Americomp
149,Amiga
150,Amigo Games Limited
151,Amistech Games
152,Ammolite
153,Amrita Studio
154,Amsoft
155,Amstrad Magazine
156,Anaconda
157,Anarchy Enterprises
158,Angel
159,Angry Demon Studio
160,Aniplex
161,Aniplex of America
162,Ankama
163,Ankama Games
164,Annapurna Interactive
165,Anne Carrière Multimedia
166,Another Indie
167,Ant Workshop Ltd
168,Ant.Karlov
169,Anuman
170,Anuman Interactive
171,Anvil Game Studios
172,Any River Entertainment
173,Aperture Tag Team
174,Apogee Software
175,Application Systems Heidelberg
176,Aquaplus
177,Aquiris Game Studio
178,Arbitrary Metric
179,Arc System Works
180,Arc System Works America
181,Arcadia Systems
182,Arcadim
183,Arcane Kids
184,Archosaur Games
185,Arcturus Studios Inc
186,Arena Entertainment
187,ArenaNet
188,Ares Dragonis
189,Ariel Network
190,Arika
191,Ariolasoft
192,Arkane Studios
193,Armor Games
194,Armor Games Studios
195,Arsys Software
196,Artdink
197,Artifex Mundi
198,Artificial Hair Brothers
199,Artix Entertainment
200,Artoldo Media
201,Arush Entertainment
202,Aruze
203,Ascaron
204,Ascaron Entertainment
205,AsiaSoft
206,Asmik Ace Entertainment
207,Asmik Corporation
208,Aspyr Media
209,Assemble Entertainment
210,Asteroid Base
211,AstralShift
212,Astraware
213,Astrocade
214,Astrovision
215,Astrum Entertainment
216,Asylum Entertainment
217,Asymmetric
218,Atari
219,Atari Corporation
220,Atari Europe
221,Atari Games
222,Atari Interactive
223,Atari SA
224,AtariAge
225,Atelier 801
226,Athena
227,Athlon Games
228,Atlantean Interactive Games
229,Atlus
230,Atlus USA
231,Atooi
232,Auran Games
233,Automata Source
234,Autumn Games
235,Avalanche Studios
236,Avanquest Software Publishing
237,AvoCavo
238,Axolot Games
239,Aza Game Studio
240,B-Factory
241,BAM! Entertainment
242,BANDAI NAMCO Games Inc
243,BASIC 10Liner
244,BBC
245,BBC Multimedia
246,BBC Worldwide
247,BBC Worldwide Digital Entertainment
248,BBG Entertainment
249,BITBOX Ltd.
250,BKOM Studios
251,BLits Games
252,BMB
253,BMG Interactive
254,BMG Interactive Entertainment
255,Baba Yaga Games
256,BabaYegha
